Month,CentralPark,WhitePlains
2022-05,64.0,62.4
2022-06,71.4,68.4
2022-07,79.5,76.8
2022-08,79.3,76.8
2022-09,69.5,66.6
2022-10,56.9,54.6
2022-11,50.9,47.7
2022-12,38.5,35.0
2023-01,43.5,40.0
2023-02,41.1,36.4
2023-03,44.6,41.3
2023-04,57.6,53.6
2023-05,62.7,58.8
2023-06,70.0,66.9
2023-07,79.0,76.2
2023-08,75.0,71.8
2023-09,69.4,67.1
2023-10,60.5,57.9
2023-11,46.7,42.7
2023-12,44.6,40.7
2024-01,37.0,33.6
2024-02,40.1,35.3
2024-03,48.1,44.4
2024-04,55.6,50.7
2024-05,65.0,62.3
2024-06,75.1,71.9
2024-07,79.6,76.6
2024-08,75.1,73.0
2024-09,68.8,65.8
2024-10,60.9,57.5
2024-11,51.4,48.2
2024-12,38.2,34.8
